word,freq,numSyl,numLet,imag,conc,meaning,isTarget,posInWord,hasS
slave,50,1,5,6.23,6.38,6.17,1,1,1
moisture,21,2,8,5.2,6.24,6.72,1,2,1
damsel,36,2,6,6.03,6.58,6.12,0,0,1
genius,30,2,6,4.27,2.76,5.5,1,3,1
assault,22,2,7,4.8,4.19,5.56,1,2,1
costume,25,2,7,5.8,6.12,6.19,1,2,1
boss,23,1,4,5.73,6.35,5.81,1,3,1
lobster,7,2,7,6.57,6.96,6.84,1,2,1
northwest,19,2,9,4,3.97,5.76,1,2,1
monk,20,1,4,6.4,6.63,5.92,0,0,0
style,50,1,5,3.83,3.18,5.84,1,1,1
cell,50,1,4,6.47,6.63,7.52,1,1,1
deceit,8,2,6,3.3,1.66,4.92,1,2,1
city,100,2,4,6.43,6.41,7.72,1,1,1
skin,100,1,4,6.43,6.96,5.67,1,1,1
settler,20,2,7,5.4,6.07,6.48,1,1,1
circle,100,2,6,6.23,6,4.88,1,1,1
essence,8,2,7,2.33,1.66,3.28,1,4,1
comrade,26,2,7,5.57,5.65,5.58,0,0,0
salad,28,2,5,6.53,6.83,7.2,1,1,1
engine,50,2,6,6.33,6.76,6.08,0,0,0
kindness,35,2,8,4.2,1.63,4.84,1,3,1
beast,50,1,5,5.9,6.51,6.08,1,2,1
devil,50,2,5,5.63,2.13,6.94,0,0,0
geese,26,1,5,6.53,6.83,7.48,1,3,1
doll,46,1,4,6.17,6.94,6.12,0,0,0
oats,23,1,4,6.07,6.9,7.16,1,3,1
prison,50,2,6,6.23,6.62,7.21,0,0,1
mercy,45,2,5,3.4,1.59,5.2,1,2,1
strength,100,1,8,4.63,2.9,5.12,1,1,1
toast,20,1,5,6.57,6.93,7.84,1,2,1
sadness,11,2,7,4.63,2.47,5.56,1,4,1
science,50,1,7,4.07,3.05,6.56,1,4,1
speech,100,1,6,4.33,4.87,5.36,1,1,1
harness,29,2,7,5.1,6.93,6.2,1,3,1
instance,50,2,8,2,2.87,4.04,1,4,1
abyss,5,2,5,5.17,5.4,5.88,1,3,1
gold,100,1,4,6.47,6.76,6.36,0,0,0
cellar,32,2,6,6.27,6.83,6.79,1,1,1
spire,11,1,5,5.57,6.72,4.72,1,1,1
spray,22,1,5,6.17,6.21,6.48,1,1,1
horse,100,1,5,6.8,6.94,8.67,1,3,1
tempest,14,2,7,5.63,5.62,6.96,1,2,1
blossom,43,2,7,6.67,6.62,7.6,1,2,1
spinach,8,2,7,6.47,6.9,7.08,1,1,1
vigour,19,2,6,4.43,2.6,5.72,0,0,0
master,100,2,6,4.97,5.53,5.28,1,2,1
sickness,25,2,8,5.17,4.94,6.36,1,4,1
crisis,19,2,6,3.43,2.81,5.44,1,4,1
lemon,27,2,5,6.83,6.96,7.72,0,0,0
chaos,9,2,5,4.57,2.5,5.88,1,3,1
session,19,2,7,3.67,3.62,5.4,1,1,1
conquest,26,2,8,4.03,3.11,5.81,1,3,1
square,100,1,6,6.37,5.7,5.44,1,1,1
lark,22,1,4,6.2,6.83,5.84,0,0,0
poster,5,2,6,6.33,6.96,6.2,1,2,1
string,50,1,6,6.2,6.9,5.29,1,1,1
insect,40,2,6,6.1,6.8,6.32,1,2,1
salute,22,2,6,5.77,5,6.52,1,1,1
slipper,20,2,7,6.47,6.94,6.04,1,1,1
anger,50,2,5,4.87,1.7,5.83,0,0,0
fireplace,19,2,9,6.83,6.96,7.08,1,3,1
exhaust,28,2,7,5.17,5,6.29,1,2,1
truth,100,1,5,2.73,1.69,4.78,0,0,0
stub,5,1,4,4.97,6.2,5.24,1,1,1
priest,42,1,6,6.53,6.59,6.88,1,2,1
earth,100,1,5,6.27,6.58,7.56,0,0,0
rock,100,1,4,6.37,6.96,5.96,0,0,0
sugar,100,2,5,6.57,6.96,7,0,0,1
vessel,50,2,6,5.9,6.99,7.82,1,2,1
research,22,2,8,4.13,3.22,6.92,1,2,1
coast,50,1,5,6.13,6.59,6.4,1,2,1
infant,22,2,6,6.33,6.76,7.2,0,0,0
snake,28,1,5,6.9,7,6.88,1,1,1
piston,5,2,6,5.37,6.87,7.4,1,2,1
fire,100,1,4,6.7,6.66,7.36,0,0,0
scarlet,27,2,7,6.37,5.96,5.8,1,1,1
flood,50,1,5,6.33,6.62,6.36,0,0,0
house,100,1,5,6.67,6.93,6.83,1,1,1
painter,25,2,7,5.87,6.59,6.4,0,0,0
justice,50,2,7,3.6,2.18,6.6,1,4,1
silence,100,2,7,4.1,3.09,5.82,1,4,1
safety,50,2,6,4.27,2.25,5.76,1,1,1
forest,100,2,6,6.63,6.69,9.12,1,2,1
nonsense,19,2,8,3.07,1.9,4.12,1,4,1
soul,100,1,4,2.13,1.87,6.4,1,1,1
rod,44,1,3,5.97,6.62,6.04,0,0,0
sunset,24,2,6,6.83,6.07,6.96,1,4,1
quest,20,1,5,4.53,2.76,5.2,1,2,1
cottage,46,2,7,6.5,6.9,7.76,0,0,0
kiss,100,1,4,6.8,6.13,6.68,1,3,1
vision,45,2,6,4.73,4,6.39,0,0,1
spirit,100,2,6,3.43,1.86,5.72,1,1,1
